"More information","Çerez Politikası"
"This websites use cookies. By continuing to browse the site you are agreeing to our use of cookies.","Alışveriş deneyiminizi iyileştirmek için yasal düzenlemelere uygun çerezler (cookies) kullanıyoruz. Detaylı bilgiye Gizlilik ve Çerez Politikası sayfamızdan erişebilirsiniz."
"Accept","Anladım"

"Message text","Mesaj yazısı"
"Accept text","Kabul yazısı"
"Type","Türü"
"Bar position","Bar pozisyonu"
"Content","İçerik"
"More information text","Daha fazla bilgi yazısı"
"More information page","Çerez sözleşmeleri sayfası"
"Box position","Kutunun pozisyonu"
"[Top] does not cover the content, [Bottom] is fixed.","[Üst] içeriği kapsamaz, [Alt] sabittir."
"Autohide (in seconds)","Otomatik gizlen (saniye cinsinden süre)"
"When visitor closes the notice","Ziyaretçi bildirimi kapattığında"
"If [0] then the notice won't close automatically.","Eğer 0 tan küçükse otomatik kapanır"
"CMS page with information about cookies and how to manage them.","Çerezler ve bunları nasıl yöneteceğiniz ile ilgili CMS sayfası."
